# Weather station Banda, India, WMO_ID=42473,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42473&lang=en
#
"Local time in Banda";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"11.06.2017 08:30";"36.0";"739.5";"749.5";"";"54";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"25.4";"";"";"";"";"";"";
"10.06.2017 17:30";"40.4";"736.9";"746.7";"";"37";"Wind blowing from the north-west";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"42.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"23.0";"";"";"";"";"";"";
"10.06.2017 08:30";"35.0";"740.4";"750.4";"";"58";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.5";"";"";"";"";"";"";
"09.06.2017 17:30";"39.8";"738.0";"747.8";"";"40";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"";"42.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"23.7";"";"";"";"";"";"";
"09.06.2017 08:30";"32.6";"742.1";"752.2";"";"62";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"24.3";"";"";"";"";"";"";
"08.06.2017 17:30";"38.0";"739.5";"749.4";"";"46";"Wind blowing from the north-west";"1";"";"";"40%.";" ";"";"";"";"42.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.5";"";"";"";"";"";"";
"07.06.2017 17:30";"37.4";"740.9";"750.8";"";"48";"Wind blowing from the north-west";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"39.6";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"24.8";"";"";"";"";"";"";
"07.06.2017 08:30";"31.4";"743.5";"753.7";"";"73";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"26.1";"";"";"";"";"";"";
"06.06.2017 17:30";"37.6";"740.1";"750.0";"";"53";"Wind blowing from the north-west";"1";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.6";"";"";"";"";"";"";
"06.06.2017 08:30";"37.0";"741.7";"751.7";"";"46";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"23.6";"";"";"";"";"";"";
"05.06.2017 17:30";"44.0";"736.1";"745.8";"";"31";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"46.8";"";"";"";"";"";"4.0";"23.5";"";"";"";"";"";"";
"05.06.2017 08:30";"40.4";"739.5";"749.3";"";"36";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"22.7";"";"";"";"";"";"";
"04.06.2017 17:30";"45.0";"736.6";"746.2";"";"21";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"48.0";"";"";"";"";"";"4.0";"18.2";"";"";"";"";"";"";
"04.06.2017 08:30";"39.0";"739.3";"749.2";"";"28";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"17.6";"";"";"";"";"";"";
"03.06.2017 17:30";"44.4";"736.7";"746.4";"";"30";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"46.2";"";"";"";"";"";"4.0";"22.9";"";"";"";"";"";"";
"02.06.2017 17:30";"41.6";"738.5";"748.3";"";"34";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"43.8";"";"";"";"";"";"4.0";"22.8";"";"";"";"";"";"";
"02.06.2017 08:30";"34.6";"742.2";"752.2";"";"52";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"23.4";"";"";"";"";"";"";
"01.06.2017 17:30";"39.0";"738.8";"748.6";"";"41";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"41.0";"";"";"";"";"";"4.0";"23.4";"";"";"";"";"";"";
"01.06.2017 08:30";"32.4";"741.8";"751.9";"";"58";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"23.2";"";"";"";"";"";"";
"31.05.2017 17:30";"40.2";"737.7";"747.5";"";"37";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"";"42.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"22.8";"";"";"";"";"";"";
"31.05.2017 08:30";"33.0";"739.6";"749.7";"";"58";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"23.8";"";"";"";"";"";"";
"30.05.2017 17:30";"35.4";"736.6";"746.5";"";"52";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"40.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.0";"";"";"";"";"";"";
"30.05.2017 08:30";"31.0";"738.6";"748.7";"";"69";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.7";"";"";"";"";"";"";
"29.05.2017 17:30";"34.0";"737.9";"747.9";"";"56";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"";"43.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"24.0";"";"";"";"";"";"";
"29.05.2017 08:30";"28.6";"740.9";"751.1";"";"69";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"22.4";"";"";"";"";"";"";
"28.05.2017 17:30";"40.8";"737.1";"746.9";"";"31";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"42.4";"";"";"";"";"";"4.0";"20.6";"";"";"";"";"";"";
"28.05.2017 08:30";"32.6";"740.8";"750.9";"";"63";"Wind blowing from the south-east";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"24.7";"";"";"";"";"";"";
"27.05.2017 17:30";"38.4";"737.5";"747.4";"";"46";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"42.0";"";"";"";"";"";"4.0";"24.7";"";"";"";"";"";"";
"27.05.2017 08:30";"32.0";"739.7";"749.8";"";"63";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"24.0";"";"";"";"";"";"";
"26.05.2017 17:30";"44.4";"736.3";"745.9";"";"21";"Wind blowing from the north-west";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"46.6";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"17.2";"";"";"";"";"";"";
"26.05.2017 08:30";"36.2";"740.9";"750.9";"";"44";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"";"22.0";"";"";"";"";"";"";
"25.05.2017 17:30";"42.6";"738.0";"747.7";"";"22";"Wind blowing from the north-west";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"45.6";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"16.6";"";"";"";"";"";"";
"24.05.2017 17:30";"41.6";"738.7";"748.5";"";"38";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"44.2";"";"";"";"";"";"4.0";"24.6";"";"";"";"";"";"";
"24.05.2017 08:30";"32.4";"743.3";"753.4";"";"56";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.5";"";"";"";"";"";"";
"23.05.2017 17:30";"40.2";"740.6";"750.4";"";"34";"Wind blowing from the north-west";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"43.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"21.7";"";"";"";"";"";"";
"23.05.2017 08:30";"35.0";"744.5";"754.6";"";"45";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"21.2";"";"";"";"";"";"";
"22.05.2017 17:30";"40.4";"740.1";"749.9";"";"31";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"";"43.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"20.1";"";"";"";"";"";"";
"21.05.2017 17:30";"39.8";"738.5";"748.3";"";"29";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"45.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"18.4";"";"";"";"";"";"";
"21.05.2017 08:30";"37.4";"741.7";"751.6";"";"38";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"21.0";"";"";"";"";"";"";
"20.05.2017 17:30";"42.0";"738.2";"747.9";"";"23";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"44.6";"";"";"";"";"";"4.0";"17.0";"";"";"";"";"";"";
"20.05.2017 08:30";"34.2";"742.8";"752.9";"";"40";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"18.6";"";"";"";"";"";"";
"19.05.2017 17:30";"38.8";"741.1";"751.0";"";"29";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"";"44.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"17.8";"";"";"";"";"";"";
"19.05.2017 08:30";"32.0";"743.3";"753.4";"";"54";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"21.7";"";"";"";"";"";"";
"18.05.2017 17:30";"31.0";"740.8";"750.9";"";"57";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.5";"";"";"";"";"";"";
"18.05.2017 08:30";"31.2";"743.5";"753.7";"";"54";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"20.7";"";"";"";"";"";"";
"17.05.2017 17:30";"30.2";"740.4";"750.6";"";"60";"Wind blowing from the north-west";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"42.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrostratus covering the whole sky.";"4.0";"21.6";"";"";"";"";"";"";
"16.05.2017 17:30";"43.0";"737.1";"746.8";"";"35";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"46.2";"";"";"";"";"";"4.0";"24.7";"";"";"";"";"";"";
"16.05.2017 08:30";"32.6";"740.3";"750.4";"";"59";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"23.7";"";"";"";"";"";"";
"15.05.2017 17:30";"43.4";"737.4";"747.1";"";"33";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"47.0";"";"";"";"";"";"4.0";"23.8";"";"";"";"";"";"";
"15.05.2017 08:30";"35.4";"740.3";"750.3";"";"43";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"20.9";"";"";"";"";"";"";
"14.05.2017 17:30";"43.6";"738.3";"748.0";"";"31";"Wind blowing from the north-west";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"46.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"22.9";"";"";"";"";"";"";
"14.05.2017 08:30";"37.0";"743.0";"753.0";"";"41";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"21.5";"";"";"";"";"";"";
"13.05.2017 17:30";"41.6";"739.7";"749.5";"";"31";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"44.8";"";"";"";"";"";"4.0";"21.0";"";"";"";"";"";"";
"13.05.2017 08:30";"34.0";"743.7";"753.8";"";"56";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"24.0";"";"";"";"";"";"";
"12.05.2017 17:30";"37.4";"743.2";"753.2";"";"38";"Wind blowing from the south-west";"1";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"20.6";"";"";"";"";"";"";
"12.05.2017 08:30";"35.6";"745.8";"755.9";"";"46";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"22.3";"";"";"";"";"";"";
"11.05.2017 17:30";"40.4";"742.2";"752.0";"";"29";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"43.0";"";"";"";"";"";"4.0";"19.3";"";"";"";"";"";"";
"11.05.2017 08:30";"32.6";"745.1";"755.2";"";"65";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"25.3";"";"";"";"";"";"";
"10.05.2017 17:30";"40.6";"741.3";"751.1";"";"36";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"44.8";"";"";"";"";"";"4.0";"22.6";"";"";"";"";"";"";
"10.05.2017 08:30";"32.6";"";"754.8";"";"59";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"23.7";"";"";"";"";"";"";
"09.05.2017 17:30";"40.0";"";"750.9";"";"35";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"43.2";"";"";"";"";"";"4.0";"21.8";"";"";"";"";"";"";
"09.05.2017 08:30";"33.4";"";"754.0";"";"53";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"22.7";"";"";"";"";"";"";
"08.05.2017 17:30";"41.4";"";"750.3";"";"35";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"46.0";"";"";"";"";"";"4.0";"22.9";"";"";"";"";"";"";
"08.05.2017 08:30";"36.0";"";"754.7";"";"38";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"19.5";"";"";"";"";"";"";
"07.05.2017 17:30";"44.0";"";"750.8";"";"23";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"";"47.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"18.8";"";"";"";"";"";"";
"07.05.2017 08:30";"36.0";"";"755.7";"";"31";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"16.2";"";"";"";"";"";"";
"06.05.2017 17:30";"43.2";"";"751.8";"";"19";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"";"45.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"15.2";"";"";"";"";"";"";
"06.05.2017 08:30";"33.4";"";"756.5";"";"30";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"13.7";"";"";"";"";"";"";
"05.05.2017 17:30";"41.0";"";"752.2";"";"14";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"44.0";"";"";"";"";"";"4.0";"8.3";"";"";"";"";"";"";
"04.05.2017 17:30";"40.2";"";"753.4";"";"34";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"43.0";"";"";"";"";"";"4.0";"21.7";"";"";"";"";"";"";
"04.05.2017 08:30";"34.6";"";"756.9";"";"40";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"19.2";"";"";"";"";"";"";
"03.05.2017 17:30";"41.2";"";"752.4";"";"25";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"";"45.2";"";"";"2500 or more, or no clouds.";"";"";"4.0";"17.5";"";"";"";"";"";"";
"03.05.2017 08:30";"33.2";"";"755.9";"";"32";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"14.3";"";"";"";"";"";"";
"02.05.2017 17:30";"39.4";"";"754.3";"";"20";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"42.2";"";"";"";"";"";"4.0";"12.7";"";"";"";"";"";"";
"02.05.2017 08:30";"33.0";"";"757.6";"";"28";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"12.1";"";"";"";"";"";"";
"01.05.2017 08:30";"30.8";"746.8";"757.0";"";"43";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"16.9";"";"";"";"";"";"";
"30.04.2017 17:30";"40.8";"741.5";"751.3";"";"19";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"43.2";"";"";"";"";"";"4.0";"13.1";"";"";"";"";"";"";
"30.04.2017 08:30";"33.0";"745.4";"755.5";"";"50";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"21.2";"";"";"";"";"";"";
"27.04.2017 17:30";"39.2";"745.1";"755.0";"";"24";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"42.6";"";"";"";"";"";"4.0";"15.3";"";"";"";"";"";"";
"27.04.2017 08:30";"33.6";"746.0";"756.1";"";"32";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"14.9";"";"";"";"";"";"";
"26.04.2017 08:30";"34.0";"745.0";"755.1";"";"37";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"17.2";"";"";"";"";"";"";
"25.04.2017 17:30";"39.2";"741.5";"751.4";"";"26";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"42.2";"";"";"";"";"";"4.0";"16.2";"";"";"";"";"";"";
"24.04.2017 17:30";"39.8";"740.4";"750.2";"";"25";"Wind blowing from the north-west";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"43.4";"";"";"2500 or more, or no clouds.";"";"";"4.0";"16.2";"";"";"";"";"";"";
"24.04.2017 08:30";"34.3";"743.6";"753.7";"";"41";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"19.1";"";"";"";"";"";"";
"23.04.2017 17:30";"36.6";"740.2";"750.1";"";"31";"Wind blowing from the north-east";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"17.1";"";"";"";"";"";"";
"23.04.2017 08:30";"35.0";"743.1";"753.1";"";"35";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"17.3";"";"";"";"";"";"";
